"","x"
"(Intercept)",-6.08953183368492
"age",-0.0250763574106324
"sexM",1.62757677930297
"cp2",1.39674212379386
"cp3",0.37201517367418
"cp4",2.46268528403158
"trestbps",0.0265667133350901
"chol",0.00430059732622699
"restecg1",1.11008130189548
"restecg2",0.515365208945208
"thalach",-0.0193903786336586
"exang1",0.672569811191277
"oldpeak",0.416993557893127
"slope2",1.24667030508225
"slope3",0.52179350137628
"ca1",2.19240754392593
"ca2",3.20222405596507
"ca3",2.06723101820915
"thal6",-0.237061459992642
"thal7",1.4181920390733
